"imo","MMSI","ais.type","call.Sign","flag","gross.tonnage","deadweight","length","width","image.src","ship.type","name"
"9303546",366771000,"Cargo","VLMQ","USA [US]","59705","19670","199","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=424584&size=","Vehicles Carrier","ALLIANCE FAIRFAX"
"9396452",271000999,"Cargo","TCSW3","Turkey [TR]","2102","3020","80","28","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=83628&size=","General Cargo","NAZIM BEY"
"9431599",246655000,"Cargo","PBWZ","Netherlands [NL]","2702","3300","89","98","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=685310&size=","General Cargo","SCHOKLAND"
"",224172950,"Fishing","EA2896","Spain [ES]","","","18","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2246496&size=","Fishing","VICTORIA TERCERO"
"7931454",259733000,"Cargo","LAET7","Norway [NO]","31021","88272","199","33","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=468532&size=","General Cargo","EAGLE"
"",316178000,"Sailing Vessel","CFK5068","Canada [CA]","","","16","4","http://www.marinetraffic.com/img/no_photo.png","Sailing Vessel","MANDALA 5"
"",227185860,"Sailing Vessel","FAB2721","France [FR]","","","11","4","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1894853&size=","Sailing Vessel","YEMANJA"
"9615119",373393000,"Cargo","3FBM3","Panama [PA]","23264","38204","179","97","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=952575&size=","Bulk Carrier","CLIPPER BELLE"
"9371919",210203000,"Cargo","C4VE2","Cyprus [CY]","5338","7660","117","19","http://www.marinetraffic.com/img/no_photo.png","General Cargo","LIMASSOL"
"9295402",636090860,"Cargo - Hazard A (Major)","A8GU5","Liberia [LR]","41359","52786","264","05","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=420934&size=","Container Ship","JPO CANOPUS"
"",224275750,"Pleasure Craft","-","Spain [ES]","","","11","4","http://www.marinetraffic.com/img/no_photo.png","Pleasure Craft","DERSU UZALA"
"9486300",305618000,"Cargo","V2QE3","Antigua Barbuda [AG]","5214","8108","119","95","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=605524&size=","Bulk Carrier","GRACE"
"9293272",247186300,"Cargo","ICCK","Italy [IT]","38651","12420","176","31","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=72779&size=","Ro-Ro Cargo","GRANDE DETROIT"
"9299111",240323000,"Tanker - Hazard C (Minor)","SYEK","Greece [GR]","59486","101970","243","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=9362&size=","Oil/Chemical Tanker","ELKA APOLLON"
"9526930",477196800,"Cargo","VRJH7","Hong Kong [HK]","88237","94267","299","9","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1306336&size=","Container Ship","MAERSK LEBU"
"9550278",565250000,"Cargo","9V8320","Singapore [SG]","17025","28496","169","37","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=222394&size=","Bulk Carrier","LAKE HAKONE"
"9501617",247304400,"Cargo","ICQN","Italy [IT]","91373","178076","291","95","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1466874&size=","Bulk Carrier","ORSOLA BOTTIGLIERI"
"9376220",256876000,"Tug","9HEL9","Malta [MT]","378","114","28","3","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=463543&size=","Tug","RT MARGO"
"9193434",204264000,"Unspecified","CUST8","Portugal [PT]","139","","25","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1678781&size=","Fishing Vessel","CABO DO MAR"
"9633202",373840000,"Cargo","3FJF6","Panama [PA]","23264","38218","180","30","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1685695&size=","Bulk Carrier","PACIFIC ISLAND"
"",204209570,"Fishing","CUWM4","Portugal [PT]","","","","","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=717942&size=","Fishing","MESTRE SACADURA"
"9493119",477464900,"Cargo","VRLB5","Hong Kong [HK]","151825","315042","330","57","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2112112&size=","Ore Carrier","CSB TALENT"
"9193252",368348000,"Cargo","WKPN","USA [US]","50698","61987","292","08","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1116168&size=","Container Ship","MAERSK WISCONSIN"
"9450765",636014798,"Cargo","A8WP4","Liberia [LR]","23456","34428","180","29","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1065862&size=","Bulk Carrier","GENCO MARE"
"9541631",355654000,"Cargo","3FDS4","Panama [PA]","30962","55088","189","9","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=255117&size=","Bulk Carrier","YUTAI BREEZE"
"8836314",224012450,"Other","EBSG","Spain [ES]","498","","58","10","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=311831&size=","Motor Hopper","ALASKA PRIMERO"
"8751320",576917000,"Other","YJUE5","Vanuatu [VU]","12072","","89","70","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=343652&size=","Platform","GSF ARCTIC I"
"9359959",269868000,"Cargo","HBEM","Switzerland [CH]","9938","12576","139","96","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1254037&size=","General Cargo","SCL AKWABA"
"9619945",219018864,"Cargo","OWJG2","Denmark [DK]","194849","194394","399","60","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1625014&size=","Cargo","MADISON MAERSK"
"9083043",211217360,"Cargo - Hazard B","DIPS","Germany [DE]","7550","8932","151","12","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=117999&size=","Container Ship","SPICA"
"9577094",636015051,"Tanker","A8YG8","Liberia [LR]","42208","74548","228","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=477787&size=","Tanker","SCF PROVIDER"
"8847246",273290500,"Fishing","UAVN","Russia [RU]","4407","1810","105","16","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1757260&size=","Factory Trawler","OSTROV ITURUP"
"",244780365,"Pleasure Craft","PA3152","Netherlands [NL]","","","","","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1630206&size=","Pleasure Craft","VOYAGER"
"",244700759,"Unspecified","PE6552","Netherlands [NL]","","","21","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1660615&size=","Unspecified","MEZZOFORTE 2"
"",996131609,"OffShore Structure","-","Cameroon [CM]","","","","","http://www.marinetraffic.com/img/no_photo.png","OffShore Structure","FLARE"
"9149744",403533000,"Cargo - Hazard A (Major)","HZQG","Saudi Arabia [SA]","48154","49993","276","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=111069&size=","Container Ship","NAJRAN"
"9421128",305398000,"Cargo","V2QA3","Antigua Barbuda [AG]","5630","7816","108","17","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=732705&size=","General Cargo","UBC MARIEL"
"9309459",371908000,"Cargo - Hazard A (Major)","3EEI3","Panama [PA]","94489","114175","331","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1061887&size=","Container Ship","MSC SILVANA"
"",224081870,"Sailing Vessel","EA-2749","Spain [ES]","","","18","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1410684&size=","Sailing Vessel","ODYSSEAS"
"9238117",538003253,"Cargo","V7PL2","Marshall Is [MH]","17431","28425","170","27","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=68784&size=","Bulk Carrier","KINGFISHER D"
"9297929",311912000,"Cargo","C6UH2","Bahamas [BS]","40230","73690","225","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1588559&size=","Bulk Carrier","CALIPSO"
"9147679",304080754,"Cargo","V2AB2","Antigua Barbuda [AG]","8388","9961","151","63","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=267129&size=","General Cargo","WILMA"
"9313503",256050000,"Cargo","9HJN8","Malta [MT]","30936","55447","189","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=309434&size=","Bulk Carrier","FASSA"
"9255660",215535000,"Tanker - Hazard A (Major)","9HSM7","Malta [MT]","57301","105330","244","42","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=15487&size=","Crude Oil Tanker","SEASCOUT"
"9604134",563982000,"Cargo - Hazard D (Recognizable)","9V9726","Singapore [SG]","98882","104135","334","98","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1740411&size=","Container Ship","EVER LIVELY"
"9430222",477167200,"Cargo","VRIP5","Hong Kong [HK]","14859","18010","161","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=959845&size=","General Cargo","SAFMARINE SHABA"
"9544712",353544000,"Cargo","3FLA","Panama [PA]","39737","76529","224","94","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=687223&size=","Bulk Carrier","LADY MARITE"
"",370730000,"Passenger","HP6075","Panama [PA]","","","19","4","http://www.marinetraffic.com/img/no_photo.png","Passenger","SURFER 19005"
"9297321",240435000,"Tanker","SZQI","Greece [GR]","58156","103194","243","57","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=96329&size=","Crude Oil Tanker","MINERVA ELLIE"
"9225720",247027500,"Tug","ILPU","Italy [IT]","470","","34","3","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=182834&size=","Tug","SANTANTONIO PRIMO"
"",265515650,"Other","DM2","Sweden [SE]","","","","","http://www.marinetraffic.com/img/no_photo.png","Other","DHERY-M"
"9506538",253375000,"Unspecified","LXZV","Luxembourg [LU]","804","602","38","14","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1172305&size=","Fire Fighting Vessel","BOURBON AUROCH"
"9213882",246484000,"Cargo","PEBT","Netherlands [NL]","4503","6358","111","75","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=697344&size=","Cargo/Containership","FLINTERDUIN"
"9643532",319931000,"Pleasure Craft","ZGBZ4","Cayman Is [KY]","1100","189","54","96","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=630351&size=","Yacht","SOVEREIGN"
"8998007",657643000,"Cargo","5NUE","Nigeria [NG]","199","","29","26","http://www.marinetraffic.com/img/no_photo.png","Crew Boat","ALAFURO"
"9280378",224101930,"Unspecified","EABZ","Spain [ES]","2894","4999","77","16","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=224589&size=","Tanker","SPABUNKER VEINTIDOS"
"",228351700,"Sailing Vessel","-","France [FR]","","","18","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=626948&size=","Sailing Vessel","MAITRCOQ2-SOLOSAILOR"
"9432490",235070364,"Cargo","2BYA3","United Kingdom [GB]","5629","8057","108","2","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=103481&size=","General Cargo","NOMADIC BERGEN"
"9251561",235606000,"Tanker","VQGB2","United Kingdom [GB]","23235","37321","182","55","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=187652&size=","Oil Products Tanker","BRITISH EXPLORER"
"9165358",310223000,"Cargo","ZCBP6","Bermuda [BM]","39174","40881","245","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=72945&size=","Container Ship","MISSISSAUGA EXPRESS"
"9497206",477389700,"Cargo","VRHI2","Hong Kong [HK]","64769","115581","254","43","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=670024&size=","Bulk Carrier","MAGSENGER 1"
"9210256",247153300,"Cargo","IBGR","Italy [IT]","6204","8139","107","68","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=208672&size=","General Cargo","SDS RAIN"
"9007180",263569000,"Fishing","CUOA","Portugal [PT]","332","150","32","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1628259&size=","Fishing Vessel","MAR LARGO"
"9463865",236584000,"Cargo","ZDKA7","Gibraltar [GI]","1801","2570","87","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=400705&size=","General Cargo","HANOI"
"9381407",305594000,"Cargo","V2EY2","Antigua Barbuda [AG]","5599","7739","108","1","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1227507&size=","General Cargo","SIMBA"
"9181194",249022000,"Tanker","9HII9","Malta [MT]","159187","299999","332","95","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=344849&size=","Tanker","MARINA M"
"9434424",241018000,"Cargo","SVBA4","Greece [GR]","94995","180702","292","45","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=340817&size=","Bulk Carrier","SAMJOHN SOLIDARITY"
"9299903",240350000,"Tanker","SWDU","Greece [GR]","62404","111808","249","44","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=542596&size=","Tanker","DEEP BLUE"
"9608697",229102000,"Cargo","9HA3071","Malta [MT]","20928","32178","179","9","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=966410&size=","Bulk Carrier","BIANCO VICTORIA BULKER"
"9629835",253511000,"Other","LXWU","Luxembourg [LU]","6146","4849","100","2","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1653985&size=","Multi Purpose Offshore Vessel","BOURBON EVOLUTION 802"
"",996132704,"Safe Water","-","Cameroon [CM]","","","","","http://www.marinetraffic.com/img/no_photo.png","Safe Water","TANKER ANCHORAGE EBO"
"9045780",309281000,"Cargo","C6WH9","Bahamas [BS]","7743","7721","131","25","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=307847&size=","Reefer","GREEN ITALIA"
"9546057",248120000,"Cargo","9HA2184","Malta [MT]","9286","14600","139","95","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1015512&size=","General Cargo","TENACE"
"9466893",538004089,"Cargo","V7VC8","Marshall Is [MH]","33044","57000","189","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=687305&size=","Bulk Carrier","SMOLENSK"
"",205864510,"Sailing Vessel","-","Belgium [BE]","","","","","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1869282&size=","Sailing Vessel","TXINIJO"
"9629902",538005100,"Cargo - Hazard A (Major)","V7AZ4","Marshall Is [MH]","86695","90120","316","46","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1248590&size=","Container Ship","MOL COMMITMENT"
"9007544",311044500,"Cargo","C6YT4","Bahamas [BS]","29369","46908","199","2","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=172404&size=","Timber Carrier","QUETZAL ARROW"
"",242131100,"Fishing","CNA4665","Morocco [MA]","","","25","6","http://www.marinetraffic.com/img/no_photo.png","Fishing","INDALO SEGUNDO"
"9535618",305700000,"Cargo","V2QF8","Antigua Barbuda [AG]","8059","10872","145","63","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=746009&size=","General Cargo","THORCO COPENHAGEN"
"9417529",236575000,"Tanker","ZDJW8","Gibraltar [GI]","4580","6303","102","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1308656&size=","Oil Products Tanker","ZAKYNTHOS"
"9633197",373425000,"Cargo","3EZX6","Panama [PA]","23264","38233","179","97","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1241990&size=","Bulk Carrier","OCEAN BLOOM"
"9593220",241256000,"Cargo","SVBS8","Greece [GR]","106727","205938","299","92","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1805013&size=","Bulk Carrier","ANANGEL NOBILITY"
"9566617",311000147,"Cargo","C6AT5","Bahamas [BS]","44866","72400","210","36","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1542146&size=","General Cargo","MACAW ARROW"
"9129885",354776000,"Cargo - Hazard A (Major)","3FWG6","Panama [PA]","42307","51210","244","15","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=55095&size=","Container Ship","MSC RAFAELA"
"9654787",538005094,"Tanker","V7AY5","Marshall Is [MH]","29993","50800","183","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1887026&size=","Tanker","FRONT MERSEY"
"9265689",357934000,"Tanker","HOZW","Panama [PA]","28323","45974","179","88","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=30005&size=","Tanker","BITU EXPRESS"
"9531507",636015944,"Tanker","D5DQ2","Liberia [LR]","16823","16687","154","25","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1116297&size=","LPG Tanker","NAVIGATOR GUSTO"
"9466295",246719000,"Cargo","PCCY","Netherlands [NL]","11864","17407","143","21","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2054528&size=","General Cargo","ARUBABORG"
"",235102428,"Pleasure Craft","-","United Kingdom [GB]","","","11","4","http://www.marinetraffic.com/img/no_photo.png","Pleasure Craft","SUNBIRD"
"9321249",308015000,"Cargo - Hazard A (Major)","C6WN8","Bahamas [BS]","86692","90390","316","46","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=268684&size=","Container Ship","MOL CHARISMA"
"9371579",245554000,"Cargo","PHPU","Netherlands [NL]","15027","13000","145","04","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=624029&size=","General Cargo","FAIRPLAYER"
"9307205",310514000,"Tanker - Hazard A (Major)","ZCDS2","Bermuda [BM]","95753","78957","283","06","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=70150&size=","LNG Tanker","METHANE LYDON VOLNEY"
"9449259",241102000,"Cargo","SVBG4","Greece [GR]","33280","57292","190","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=779614&size=","Bulk Carrier","UNION EXPLORER"
"9616565",228002700,"Other","FFZL","France [FR]","135","187","23","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=373762&size=","Utility Vessel","JIF WORKER"
"9669873",257145000,"Tanker - Hazard A (Major)","LARX7","Norway [NO]","30521","49622","182","66","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1736199&size=","Oil/Chemical Tanker","BOW TRAJECTORY"
"9515917",354949000,"Tanker","3FFL3","Panama [PA]","29924","50155","183","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1299885&size=","Oil/Chemical Tanker","ZEFYROS"
"9383132",663036000,"Passenger","6WIX","Senegal [SN]","3481","693","76","15","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=463446&size=","Ro-Ro/Passenger Ship","ALINE SITOE DIATTA"
"9227027",477014600,"Cargo - Hazard A (Major)","VRBH4","Hong Kong [HK]","39941","50789","260","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=77265&size=","Container Ship","SEASPAN DALIAN"
"9084516",357137000,"Tanker","HOHG","Panama [PA]","17751","27925","169","25","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=82827&size=","Oil Products Tanker","EMERALD 1"
"",228041800,"Sailing Vessel","FIJC","France [FR]","","","","","http://www.marinetraffic.com/img/no_photo.png","Sailing Vessel","TERANGA"
"9564384",636014800,"Cargo","A8WP6","Liberia [LR]","34432","36994","189","9","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=390816&size=","Fruit Juice Tanker","ORANGE STAR"
"7931894",224522000,"SAR","EABF","Spain [ES]","1171","1188","63","13","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=686745&size=","Offshore Supply Ship","PUNTA SALINAS"
"9250581",354657000,"Cargo","HOFF","Panama [PA]","27658","48610","189","95","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2188240&size=","Bulk Carrier","HIBISCUS"
"9426362",432729000,"Cargo","7JGF","Japan [JP]","62993","21423","199","94","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=218621&size=","Vehicles Carrier","DAEDALUS LEADER"
"9530943",636015149,"Cargo","A8YX8","Liberia [LR]","22733","36903","186","4","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=815737&size=","Bulk Carrier","QUEST"
"7612515",273351440,"Cargo","UBVH9","Russia [RU]","1926","2649","95","13","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=214929&size=","General Cargo","BALTIYSKIY 109"
"9312339",477522000,"Cargo","VRZT6","Hong Kong [HK]","16978","28433","169","26","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=31275&size=","Bulk Carrier","CAPE FLATTERY"
"9468671",241086000,"Tanker","SVBF6","Greece [GR]","81360","157380","274","2","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=610413&size=","Tanker","DELTA POSEIDON"
"9261994",305745000,"Cargo","V2QM4","Antigua Barbuda [AG]","4448","5565","100","19","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=396487&size=","General Cargo","BLIKUR"
"9539602",538003656,"Cargo","V7SH7","Marshall Is [MH]","91407","177729","292","45","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1547060&size=","Bulk Carrier","HOUSTON"
"9246554",304642000,"Cargo","V2CQ5","Antigua Barbuda [AG]","9962","11388","134","44","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=176780&size=","Container Ship","ALLEGRO"
"9156890",576423000,"Other","YJQS5","Vanuatu [VU]","113","40","27","5","http://www.marinetraffic.com/img/no_photo.png","Utility Vessel","LELEAN TIDE"
"9669938",538005225,"Tanker","V7CA3","Marshall Is [MH]","29785","49990","183","12","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2216734&size=","Oil/Chemical Tanker","STI DUCHESSA"
